4.8	Un câine sare pe o trambulină.	Un câine face salturi pe o trambulină.
2.5	Un băiat cântă la un instrument.	Un bărbat cântă la o trompetă.
1.75	O femeie cântă la chitară.	Un bărbat cântă la chitară și voce.
1.0	O femeie alege o conservă.	O femeie feliază o roșie.
5.0	Un bărbat se urcă pe o frânghie.	Un bărbat se urcă pe o frânghie.
1.4	Un bărbat ridică o mașină.	Un bărbat escaladează un perete.
4.0	Un bărbat și o femeie merg pe stradă într-o mașină de teren.	Un bărbat și o femeie conduc pe drum într-o decapotabilă.
3.8	Bărbatul fără cămașă s-a așezat pe un scaun.	Un bărbat fără cămașă stă pe un scaun.
4.0	Două femei se luptă.	Două femei se luptă pe podea.
4.0	Cățelușul s-a jucat cu o minge albastră de tenis.	Un cățeluș se joacă cu o minge de tenis.
4.8	Un cangur mănâncă ceva.	Un cangur mănâncă.
0.6	O pisică cântă la un pian.	Un bărbat cântă la o chitară.
4.75	Bărbatul a tăiat o bucată de covor cu un cuțit.	Un bărbat tăie un covor cu un cuțit.
2.2	O femeie merge pe drum pe un scuter cu motor.	Un bărbat merge pe un scuter cu motor.
3.0	Cineva feliază o legumă.	Cineva feliază o roșie.
0.0	O femeie dansează.	Un bărbat vorbește.
2.2	Un câine linge saliva unui bebeluș.	Un câine linge un bebeluș.
0.4	Un bărbat vâslește o barcă.	Un bărbat feliază o roșie.
4.8	Un bărbat tăie cartofi.	Un bărbat feliază cartofi.
4.8	O femeie toacă usturoi.	Femeia taie usturoi în cuburi.
3.8	Un animal aleargă în cerc.	O veveriță aleargă în cerc.
3.0	Un bărbat trece încet peste un pod de frânghii.	Un băiat trece peste un pod.
4.0	Un bărbat cântă la chitară.	Un bărbat așezat într-o cameră cântă la chitară.
5.0	Un bărbat cântă la flaut.	Un bărbat cântă la un flaut.
3.8	O femeie sparge două ouă într-un bol de sticlă.	O femeie sparge un ou într-un bol.
3.0	Un bărbat taie un pește.	Un bărbat spintecă un pește.
4.4	Doi bărbați pun valize în portbagajul unei mașini.	Bărbații pun valize în portbagajul mașinii.
3.8	Un bărbat toarnă ulei pe niște roșii.	Bărbatul a turnat ulei pe roșiile tăiate.
3.0	Un bărbat feliază ceva.	Un bărbat feliază o chiflă.
0.667	Un bărbat vâslește cu o canoe.	Un bărbat cântă la o harpă.
4.0	Un bărbat și o femeie se plimbă împreună prin pădure.	Un bărbat și o femeie merg braț la braț printr-o zonă împădurită.
3.75	Femeia a ridicat cangurul.	O femeie ridică un pui de cangur.
4.133	Peștii înoată.	Un pește înoată.
4.0	Două femei amestecă ceva într-un robot de bucătărie.	Două femei fac ceva într-un blender.
3.6	O persoană face surf pe un val mare.	O persoană face surf.
1.2	Un bărbat cântă la o chitară.	Un bărbat înjunghie o țintă.
1.6	Un bărbat cântă la flaut într-o trupă.	Un bărbat cântă la o chitară.
4.0	Bărbatul a întins unt pe felia de pâine.	Un bărbat unge unt pe pâine.
4.0	O persoană fierbe tăiței.	O femeie fierbe tăiței în apă.
3.2	Un grup de oameni dansează pe un deal.	Un grup de oameni dansează.
1.0	Un bărbat dansează afară.	Un bărbat cântă la flaut.
1.0	O femeie hrănește un bărbat.	O femeie amestecă carne.
0.6	Un bărbat pune o tigaie într-un cuptor.	O femeie taie o ceapă.
0.4	O femeie stă la un birou.	O femeie călărește pe un măgar.
3.4	Medicii transportă un pacient pe o targă.	Un medic grăbește un pacient pe o targă.
3.6	O femeie cântă la un flaut pe scenă.	Femeia cântă la flaut.
3.0	Doi pui de panda se joacă.	Doui urși panda stau întinși unul lângă altul.
4.0	Un bebeluș râde.	Un bebeluș râde și chicotește.
1.2	Un bărbat cântă la o chitară.	Un băiat cântă la un pian.
0.6	Un bărbat împăturește hârtie.	O femeie taie un ardei.
1.6	Trei femei dansează.	Bărbatul dansează.
2.6	Pisicile se joacă între ele.	Două pisici se luptă între ele.
3.6	O persoană scrie.	O persoană scrie cu un creion.
3.5	Un bărbat aleargă.	Un bărbat aleargă pe un drum.
3.765	Femeia rulează aluat.	O femeie pune făină și rulează aluat.
2.75	O femeie adaugă condimente pe o carne.	Femeia adaugă zahăr în carne.
2.25	O femeie adaugă ulei pe pești.	O femeie toarnă apă peste pește.
2.75	Un băiețel ține o chitară.	Un băiețel cântă la o chitară.
3.8	Un ghepard aleargă.	Un ghepard aleargă de-a lungul unui câmp.
4.8	Bărbatul mănâncă pizza.	Un bărbat mănâncă o felie de pizza.
3.6	Un urangutan merge cu autobuzul.	O maimuță merge într-un autobuz.
1.2	Un bărbat și o femeie vorbesc într-un restaurant.	Un bărbat și o femeie merg cu o bicicletă.
0.4	Un bărbat cântă la o chitară.	Un bărbat curăță o ușă de sticlă.
2.4	O fată cântă la chitară și voce.	Un tânăr cântă în timp ce cântă la chitară.
3.941	O fată comunică prin limbajul semnelor.	O tânără folosește limbajul semnelor.
0.5	O femeie face exerciții cu greutăți.	O femeie își face părul.
3.75	Un bărbat urcă într-o mașină.	Un bărbat în vârstă urcă într-o mașină roșie.
4.0	O minge mare verde răstoarnă un cartof.	O minge mare verde lovește un cartof.
3.0	O pisică se joacă la clape.	O pisică cântă la un pian.
4.2	Doi câini înoată într-o piscină.	Câinii înoată într-o piscină.
2.0	Bărbatul a folosit un tocător pentru a toca ceapa.	Bărbatul a folosit o mașină pentru a tăia un cartof.
5.0	O femeie feliază tofu.	O femeie taie tofu.
3.0	O turmă de căprioare traversează strada.	O turmă de reni traversează un drum.
3.8	Persoana merge călare pe cal.	Un bărbat merge călare pe un cal.
0.0	Cineva hrănește un animal.	Cineva cântă la un pian.
0.0	Cineva taie tortilla.	Cineva merge călare pe cal.
0.25	Cineva amestecă ingrediente.	Cineva coase lucruri.
4.0	Un cocoș înclonțește un șoarece mort.	Un pui înclonțește un șoarece mort.
3.25	O femeie ține un cangur.	O femeie ridică un cangur.
0.75	Un bărbat se joacă cu broaște	O pisică se joacă cu un aparat foto.
1.5	Doi bărbați vorbesc.	Doi bărbați cântă la chitară.
3.5	Un bărbat unge unt pe o bucată mare de pâine.	Un bărbat întinde unt pe o felie de pâine cu usturoi.
3.0	Un bărbat aleargă pe un fir la înălțime.	Un bărbat aleargă pe frânghie.
0.2	Un bărbat tunde un gazon.	O femeie taie o lămâie.
0.8	Un bărbat deschide o ușă.	Un bărbat cântă la o chitară.
4.2	Un bărbat feliază un cartof în bucăți.	Un bărbat taie un cartof.
3.8	Femeia taie caracatiță gătită.	O femeie toacă caracatiță.
0.4	Un bărbat lovește panourile cu pumnii.	Un câine aleargă prin apă.
0.8	Un bărbat dansează.	Un bărbat mănâncă pâine.
1.2	Cineva cântă la pian.	Un bărbat cântă la o chitară.
2.8	Două vulpi mănâncă dintr-o farfurie pe o terasă din cărămidă.	Vulpi mănâncă dintr-o farfurie.
3.2	Un băiat cântă la clape.	Un băiat cântă la pian.
5.0	O persoană cântă la clape.	Cineva cântă la clape.
0.0	Un bărbat trage cu o armă.	Un bărbat scuipă.
1.0	Cineva taie o ceapă.	Cineva curăță un cartof.
0.0	Un bărbat înoată.	O femeie taie carne.
3.75	Un bărbat cântă la chitară.	Un bărbat cântă la o chitară acustică.
0.4	O femeie taie un dovleac.	O femeie călărește un elefant.
0.4	O femeie dansează.	O femeie frământă aluat.
0.6	O femeie sparge ouă într-un castron.	O femeie pune frigarui pe un grătar.
4.0	O mașină merge pe un drum.	O mașină circulă pe drum.
0.4	Cineva unge o tigaie.	Cineva se întinde jos.
0.4	Un bărbat cântă la chitară.	Un om scurge paste.
0.4	O femeie bea vodcă.	O femeie face exerciții fizice.
4.8	O femeie taie carne în bucăți.	O femeie taie niște carne.
0.6	Un bărbat clătește o bucată de carne.	Un bărbat cântă la o chitară.
0.8	Un bărbat vinde articole.	Un bărbat curăță casa.
3.2	Un bărbat sare peste un zid.	Un bărbat sare pe un zid mic.
3.2	Alergătorii aleargă în jurul unei piste.	Alergătorii concurează într-o cursă.
0.6	Un bărbat lovește o minge de fotbal.	Un bărbat învârte un castron.
0.6	O femeie prăjește ceva.	O femeie merge călare pe un cal.
0.0	O pisică linge o ventuză.	O femeie feliază castravete.
1.4	O femeie dansează lângă un foc.	O femeie face o baie.
2.2	Bărbatul spintecă un pește.	Un bărbat feliază un cartof.
3.6	Untul se topește într-o tigaie.	Un bărbat topește unt într-o tigaie.
3.111	Trei băieți dansează.	Copii dansează.
0.6	O femeie joacă un joc cu un bărbat.	Un bărbat cântă la pian.
0.4	Bărbatul conduce o mașină albă.	Un bărbat acordă un interviu.
4.25	Un bărbat și-a condus mașina.	Un bărbat conduce o mașină.
3.0	O mașină dă cu spatele dintr-un loc de parcare.	O mașină dă cu spatele dintr-o stradă blocată.
5.0	Un bărbat pune niște brânză pe o pizza.	Bărbatul a presărat brânză pe pizza.
5.0	Băiatul cântă la pian.	Un băiat cântă la un pian.
3.75	Bărbatul a cântat la chitara lui.	Un bărbat cântă la o chitară.
0.2	Un bărbat merge călare pe un cal.	Un bărbat cântă la clape.
0.4	Un om merge pe o frânghie.	Un bărbat merge cu o motoretă.
1.286	O fată cântă la un flaut.	O trupă cântă pe o scenă.
4.6	Oamenii se dau jos dintr-un tren.	Un grup de oameni coboară dintr-un tren.
0.6	O femeie coase la mașină.	O femeie pregătește niște carne.
2.0	Un câine se uită la piscină.	Un câine se plimbă în jurul unei piscine.
5.0	Un bărbat unge o bucată de pâine cu unt.	Un om întinde unt pe pâine.
1.8	Un bărbat tăie roșii în bucăți.	O femeie taie niște legume.
2.4	Trei adolescente au dansat în cameră.	Niște fete adolescente dansează pentru aparatul de fotografiat.
2.4	Un leu merge.	Un leu umblă într-un țarc.
0.4	Un bărbat împușcă o mașină.	Un bărbat taie un cartof.
4.2	Un cal negru aleargă împrejur.	Calul aleargă.
0.0	O femeie decortichează creveți.	Un bărbat dansează în ploaie.
0.0	Un bărbat merge călare pe un cal.	O femeie spală un congelator.
0.8	Un bărbat merge pe o cărare.	Un bărbat trece peste o frânghie întinsă.
1.4	Un bărbat feliază un cartof.	O femeie taie un ardei.
1.5	Un câine latră la o minge.	Un câine înoată după o minge de tenis.
2.5	Un copil fuge de un pește care se balansează în jurul unei undițe.	Un copil mic aleargă în jurul unei undițe.
2.5	Un bărbat merge pe o cărare prin sălbăticie.	Un bărbat merge pe un drum.
3.5	Un bărbat în vârstă vorbește pe un podium.	Un bărbat ține un discurs pe podium.
3.4	Un bărbat merge călare pe un cal în mișcare lentă.	Un bărbat merge călare pe un cal.
3.8	O persoană taie niște brânză burrata.	Persoana feliază brânză.
3.8	Bărbatul trage cu o pușcă automată.	Un bărbat trage cu o armă.
1.5	Un bărbat zdrobește usturoi cu un cuțit.	O femeie feliază carne cu un cuțit.
0.5	O femeie își pilește unghiile cu o pilă.	O femeie își hrănește bebelușul cu o sticlă.
0.0	Un bărbat merge pe un skateboard.	O femeie taie un cartof.
0.0	O femeie face un duș.	Un bărbat merge călare pe un cal alb.
0.8	Un bărbat dansează.	Un bărbat merge călare pe un cal.
0.85	Un bărbat vâslește într-o barcă.	Un bărbat trage cu o armă.
3.4	Un bărbat se leagănă pe o frânghie prinsă de tavan.	Un bărbat se leagănă pe o frânghie.
0.4	O femeie merge călare pe un cal pe o plajă.	Un bărbat cară un alt bărbat în spate.
1.75	Un bărbat ține un animal mic într-o mână.	Un bărbat arată o maimuță mică.
3.25	O persoană pliază o bucată de hârtie pătrată.	Un bărbat pliază hârtie.
0.75	O persoană prăjește carne într-o tigaie.	O persoană ține un sconcs.
0.0	Un cimpanzeu îi face rău unei femei.	Un bărbat conduce o mașină.
0.0	Femeia curăță creveți.	Bărbatul ține un lemur.
4.25	Două zebre se joacă.	Zebrele socializează.
1.8	O femeie taie unt.	O femeie feliază tofu.
3.2	Niște bărbați cântă la chitară.	Trei bărbați cântă la chitară și voce împreună.
3.6	Elefanții au pulverizat apă pe ei înșiși.	Elefanții se stropesc pe ei înșiși cu apă.
2.6	Un câine stătea la tejgheaua unui magazin.	Câinele stă la tejghea.
3.2	Cineva face o gaură într-o scândură de lemn cu un burghiu electric.	Un bărbat face o gaură într-o bucată de lemn.
2.8	O femeie feliază niște legume.	Femeia taie usturoi.
4.6	Un bursuc își sapă o gaură.	Un bursuc sapă în pământ.
0.0	O femeie face schi nautic pe un lac.	Un bărbat cântă la un flaut.
0.25	O fată cântă la o vioară.	Un bebeluș râde și chicotește.
3.923	Un elicopter aterizează pe un heliport.	Un elicopter aterizează.
2.75	O femeie taie un pui.	O femeie feliază carne.
0.0	O femeie taie un castravete.	Un bărbat cântă la o chitară.
3.0	O femeie călărește un elefant în fața unei mulțimi care o adoră.	O femeie călărește un elefant.
3.8	Un cățeluș alunecă înapoi de-a lungul podelei.	Un cățeluș se împinge înapoi.
4.6	O femeie desface căței de usturoi.	O femeie rupe un usturoi în căței.
2.6	Un câine se uită într-o piscină.	Un câine merge pe marginea unei piscine.
3.6	O femeie amestecă un tratament de înfrumusețare într-un pahar.	O femeie amestecă o cremă într-un pahar cu o lingură.
3.6	Un bărbat desenează un tablou.	O persoană desenează.
1.0	O femeie culege roșii.	O femeie toarnă aluat într-un castron.
2.75	Un bărbat se uită la monitorul unui computer.	Un bărbat folosește un laptop.
1.25	Băiatul merge pe o tricicletă.	O femeie merge pe o hidrobicicletă.
2.75	Doi bărbați concurează într-o cursă de rostogolit cauciucuri.	Doi oameni au răsturnat anvelope de tractor într-o cursă.
0.0	O persoană taie o carne.	O persoană călărește un taur mecanic.
0.0	Un bărbat cântă la vioară.	O femeie folosește o mașină de cusut.
2.4	Bebelușul a ieșit târâș pe ușă.	Un bebeluș se târăște de-a lungul podelei.
2.2	Un bărbat cântă la clape.	O persoană cântă la un pian.
0.2	Un bărbat miroase două pizza.	O femeie hrănește un bărbat.
2.8	O maimuță trage de coada unui câine.	O maimuță tachinează un câine la grădina zoologică.
4.0	Un câine stă întins pe spate pe o podea din lemn.	Un câine stă pe podea.
0.0	O femeie prăjește ceva în tigaie.	Un bărbat cântă la chitara lui.
5.0	Un bărbat pune condimente într-un castron cu apă.	Bărbatul a adăugat condimente peste apă într-un castron.
0.0	O femeie în vârstă toarnă ulei într-o tigaie de prăjit.	Un bărbat legat pune în apă.
3.2	O femeie toacă o ceapă.	O femeie taie parțial jumătate de ceapă.
3.5	Femeia a ridicat cangurul.	O femeie ține un cangur.
1.75	Un câine care mușcă dintr-o cutie.	Un câine deschide o cutie de mâncare.
1.25	O femeie dezosează un pește.	Un bărbat prinde un pește.
0.833	Un bărbat tunde iarbă.	Un bărbat sparge beton.
0.0	O pisică se uită la un televizor.	Un bărbat taie o frunză.
3.75	Băiatul este blocat în ușa căsuței câinelui.	Un copil este blocat într-o casuță de câini.
2.75	Oamenii se aruncă într-o piscină.	Bărbați cad într-o piscină.
3.8	O femeie înoată sub apă.	O femeie înoată.
0.2	Un bărbat cântă la o chitară.	O femeie dansează.
3.4	Un avion zboară prin aer.	Un avion South African Airways zboară sub un cer albastru.
1.4	Un urs fuge de doi câini.	Un urs se luptă cu lupi.
3.8	O femeie se odihnește pe o plută.	O femeie se relaxează într-o cadă interioară.
0.4	Un bărbat moare într-o sală de operații.	Un bărbat sărută o femeie pe scenă.
0.0	Un bărbat ține o frunză.	O femeie se uită la televizor.
0.0	O persoană merge călare pe un cal.	O femeie feliază cartofi.
0.0	O femeie feliază caracatiță.	Un bărbat cântă la chitară.
0.2	Un om sparge ulcioare de apă.	O femeie curăță usturoi.
0.0	Un bărbat cântă la o chitară.	O femeie taie legume.
0.0	O fată mănâncă o brioșă.	Un bărbat feliază un castravete.
3.8	Fetița s-a jucat pe iarbă cu un câine și o minge.	Un bebeluș se joacă cu un câine și o minge.
2.25	Oamenii merg pe o plută și vâslesc.	Patru persoane plutesc pe o plută.
2.4	Doamna a tăiat un cartof.	Un bărbat taie un cartof.
3.2	Misilul a explodat.	O rachetă a explodat.
1.6	Un câine se joacă în zăpadă.	Un câine dă cu laba la o muscă de pe covor în fața lui.
0.4	O femeie dansează cu alte femei.	O femeie mărunțește pui.
0.0	Un băiat împinge o dubiță.	O persoană taie o roșie.
0.4	Un băiat face niște pași de dans.	Un băiat toarnă ceva dintr-un ulcior.
0.6	O femeie deschide un suc și îl bea.	O femeie merge călare pe un elefant.
1.0	Un om asamblează bucăți de difuzor.	Un bărbat cântă la chitară.
4.6	Câinele s-a plimbat de-a lungul marginii piscinei.	Un câine merge pe lângă o piscină.
4.25	Untul este pus într-un castron.	Un bărbat taie untul într-un bol.
1.5	Ratonii mănâncă.	Un bărbat mănâncă.
3.5	Cineva a căzut de pe un cal.	Un bărbat este aruncat de pe un cal.
0.0	O femeie descojește un măr.	Un bărbat face acrobații pe o motocicletă.
0.0	Un bărbat ia niște cursuri de matematică.	Un bărbat clătește o bucată de carne.
0.0	Animalele se joacă în apă.	Doi bărbați joacă tenis de masă.
0.333	Un bărbat merge călare pe un cal și sare peste obstacole.	Un bărbat lovește o minge de fotbal.
0.333	O persoană face trucuri cu creionul cu mâna.	O persoană tăie morcovi în jumătate.
3.333	Persoana a dat foc la aparatele foto.	O persoană dă foc la aparate foto.
4.333	Omul tăie banda de pe cutie.	Un bărbat taie o cutie să o deschidă.
0.8	Un bărbat pescuiește în râu.	Un bărbat cântă în timp ce merge pe trotuar.
0.2	Un bărbat merge cu o bicicletă.	O femeie dansează pe stradă.
0.0	Un bărbat face flotări.	O femeie taie niște caracatiță.
0.0	Un bărbat cântă la chitară.	O femeie taie felii niște carne de porc.
2.8	Băiețelul cântă la chitară și voce.	Un bebeluș cântă la o chitară.
0.8	O femeie își pudrează fața.	Femeia bate cu degetele în masă.
0.0	O femeie curăță un cartof.	Un leu se plimbă împrejur.
0.25	O femeie trage cu o pușcă.	Un bărbat face cascadorii.
0.5	O femeie pune o ghirlandă peste umerii unui bărbat.	Un bărbat toarnă apă peste capul unui pilot.
3.75	O bătrână dă mâna cu un bărbat.	Un bărbat și o femeie dau mâna.
1.75	Femeia face schi nautic.	O femeie navigheaza pe un lac.
2.667	Copacii se îndoaie sub furtună.	Copacii sunt loviți de vânturi foarte puternice.
0.4	Un bărbat și o femeie merg cu mașina.	O femeie prăjește creveți.
0.0	Un bărbat mișcă o ramură de copac.	Femeia cântă la vioară.
1.0	Un bărbat cântă la un pian.	O femeie cântă la vioară.
0.8	O persoană toarnă ulei într-o tigaie.	O persoană face cubulețe o ceapă.
0.0	Animalul mănâncă.	O femeie dansează.
4.0	Femeia își plimbă câinele.	O femeie își plimbă câinele pe stradă.
5.0	Un grup de oameni cântă.	Niște oameni cântă.
4.4	Pisica bea lapte.	O pisică linge dintr-o farfurioară cu lapte.
2.0	O fată folosește machiaj pe pleoapele sale.	O femeie aplică fard.
2.8	Doi bărbați se luptă.	Doi bărbați se luptă folosind o formă de arte marțiale.
2.5	Ofițerul militar s-a răstit la recruți.	Un ofițer vorbește cu recruții.
2.5	Bărbatul bagă puiul într-un recipient.	Un bărbat pune alimente într-o cutie.
